cluster_id,marketing_text,representative_description,description_count
0,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
Across the street from the beautiful Marina Greens!!  With a view of Alcatraz! Welcome to a complete privacy 650 FT² Marina Suite.","Enjoy California living at its finest located in downtown Mountain View. This perfect location offers instant access to everything in town, public transportation and highways 85, 101 and 237 with the best amenities. This luxury community features a modern architectural design plus a wonderful outdoor swimming pool and spa, clubhouse, hybrid theatre, kinetic fitness center, and rooftop terrace. Every unit features open floorplans, ample windows, hardwood flooring and fully equipped kitchens.",742
1,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
Bring the whole family to this great place with lots of room for fun, also overlooks the dog park, near tennis courts, and playground.",The Donatello is a hotel/timeshare and is one of the top rated in the city.,1492
2,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
This newly-remodeled flat is located in the Central Sunset district, close to Golden Gate Park, Ocean Beach, and the San Francisco Zoo.","Situated on a private peninsula in San Diego’s Mission Bay, this resort offers a relaxed coastal vibe, easy beach access, and proximity to SeaWorld.",1680
3,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
The San Francisco East Wing is a 1BR condo with a sun room, kitchen and dining room, living room with a TV, and backyard.","Our building is located in the center of Manhattan near Empire State Building on 31st ST with Broadway Ave(Next to the K-Town). Walking distance to everything. Every major tourist destinations reachable via major public transportation including subways and buses, as well as car service and NYC taxi. It is furnished apartment with kitchen/bathroom with 24 doorman/elevator",1296
4,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
**PLEASE READ THE DESCRIPTION BEFORE BOOKING** <br />Great for travelers!<br />13 mins to SFO.","ATTENTION THIS IS NOT BEVERLY HILLS. THIS IS West Hollywood. PLEASE READ THE DESCRIPTION BEFORE YOU BOOK.<br /><br /><br />Welcome to our luxurious and modern 2-bedroom, 2-bathroom apartment located in the heart of Hollywood, California! Our building is packed with fantastic amenities, including a gym, pool area, game room, and outdoor spaces, providing you with everything you need for a comfortable, enjoyable and relaxing stay.<br /><br />IG: LH_RENTALS",530
5,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
Conveniently located in the heart of Cow Hollow, experience SF like a local! Enjoy a  beautiful, spacious 2 bedroom apartment with all the comforts of home.","** Please review entire listing before inquiring/booking.** (Including ""Where you'll be"", ""House rules"", ""Health & safety"", and ""Cancellation policy"")",1098
6,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
Enjoy easy access to everything from this perfectly located home base.",Enjoy a stylish experience at this centrally-located place.,468
7,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
Newly Built (2022) Modern Suite with its own private entrance, exclusive luxurious bath, kitchenette with microwave, air fryer, toaster, full-size refrigerator, and direct access to a outdoor deck.","Located in close proximity to Downtown San Jose, Vietnam Town, Japanese Friendship Garden,  schools, and restaurants.<br /><br />This is a private room in a one-story house which is completely remodeled in 2023. <br /><br />You have full access to all facilities in the kitchen to prepare food. <br /><br />Please select the check in&out dates to see the final price of your stay.",395
8,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
The Ashbury Garden Studio is an oasis of calm located in the middle of the very dynamic and exciting Haight Ashbury neighborhood.","Located on Hell’s Kitchen: This elevator building has an on-site management and furnished roof deck. The building located in one of the most convenient neighborhoods in all of Manhattan. Midtown West/Hell’s Kitchen is a quiet residential neighborhood but is close to everything Manhattan has to offer. Time’s Square, Columbus Circle, Central Park and the Theater District are all within a short walk.",2156
9,"다음 숙소 설명들의 공통된 감성을 한 문장으로 요약해줘:
Your room and attached bathroom occupy the entire first floor.","Thank you for considering our home for your search for a restful stay during your visit to Los Angeles. <br /><br />We offer a comfortable master suite with a spacious walk-in closet and a bathroom, providing you with the perfect sanctuary during your stay.<br /><br />For your convenience and security, we utilize the Yale Access smart door lock system and provide unique code access to each room, ensuring hassle-free keyless entry to the front door.",1733
